date,prcp,RH,tmax,tmin,vp,discharge
2001/1/14,0,67,56,-12,10008,232
2001/1/15,0,74,56,-33,10011,243
2001/1/16,0,88,37,-40,9981,253
2001/1/17,0,86,83,-33,9942,269
2001/1/18,0,83,93,-16,9915,252
2001/1/19,32700,88,86,47,9950,246
2001/1/20,0,86,126,-14,9925,231
2001/1/21,32700,90,68,45,9882,223
2001/1/22,3,87,55,18,9915,229
2001/1/23,55,96,23,-6,9949,244
2001/1/24,12,94,20,-7,9947,327
2001/1/25,34,92,19,-3,9942,278
2001/1/26,2,87,64,-16,9936,232
2001/1/27,0,94,56,-10,9962,218
2001/1/28,0,71,96,-41,9997,221
2001/1/29,0,72,129,-31,9938,231
2001/1/30,0,79,120,0,9893,256
2001/1/31,0,59,124,35,9915,271
2001/2/1,0,62,94,16,9931,242
2001/2/2,0,70,100,-12,9898,227
2001/2/3,0,64,138,35,9891,183
2001/2/4,0,78,98,13,9909,171
2001/2/5,32700,87,48,17,9884,216
2001/2/6,5,86,48,25,9922,195
2001/2/7,0,83,43,24,9978,191
2001/2/8,0,79,62,18,9964,176
2001/2/9,0,75,161,-10,9953,185
2001/2/10,0,75,158,-14,9921,164
2001/2/11,52,88,91,4,9953,173
2001/2/12,44,94,24,3,10015,176
2001/2/13,2,77,118,10,10012,185
2001/2/14,0,74,154,-24,9954,184
2001/2/15,0,67,183,-5,9965,161
2001/2/16,0,65,113,4,9981,184
2001/2/17,0,66,176,46,9891,228
2001/2/18,0,75,191,10,9873,186
2001/2/19,32700,80,149,51,9902,144
2001/2/20,45,93,114,83,9887,158
2001/2/21,0,82,179,57,9859,194
2001/2/22,32700,85,123,76,9810,219
2001/2/23,32700,84,136,76,9852,186
2001/2/24,0,69,129,48,9976,170
2001/2/25,0,52,94,25,9982,160
2001/2/26,2,76,52,25,9942,177
2001/2/27,0,80,127,29,9946,196
2001/2/28,0,68,189,1,9933,185
2001/3/1,0,65,211,2,9912,175
2001/3/2,0,67,175,65,9890,207
2001/3/3,0,36,181,64,9955,223
2001/3/4,0,53,186,10,9905,200
2001/3/5,0,55,211,55,9842,225
2001/3/6,0,50,163,62,9881,247
2001/3/7,0,42,124,31,9986,251
2001/3/8,0,61,152,-14,10000,249
2001/3/9,0,56,206,14,9913,247
2001/3/10,0,59,223,25,9894,266
2001/3/11,0,49,232,41,9932,236
2001/3/12,0,45,254,7,9906,252
2001/3/13,0,53,255,50,9815,232
2001/3/14,0,50,234,67,9851,189
2001/3/15,54,54,197,37,9918,199
2001/3/16,60,85,90,22,9889,239
2001/3/17,0,73,199,40,9873,277
2001/3/18,0,69,203,59,9875,186
2001/3/19,0,66,216,55,9856,184
2001/3/20,0,59,257,51,9829,227
2001/3/21,0,57,290,57,9769,223
2001/3/22,0,52,196,85,9809,243
2001/3/23,1,55,168,92,9828,279
2001/3/24,32700,65,221,97,9815,229
2001/3/25,0,55,248,101,9834,258
2001/3/26,32700,54,256,72,9794,234
2001/3/27,4,64,205,74,9822,243
2001/3/28,32700,66,158,60,9889,234
2001/3/29,0,71,229,35,9844,261
2001/3/30,0,63,277,59,9825,424
2001/3/31,0,46,184,115,9919,462
2001/4/1,0,65,215,45,9873,276
2001/4/2,0,60,295,62,9800,262
2001/4/3,0,63,206,120,9870,252
2001/4/4,0,57,216,106,9885,244
2001/4/5,0,62,260,81,9850,244
2001/4/6,99,84,193,120,9873,267
2001/4/7,0,79,219,112,9829,223
2001/4/8,0,70,256,145,9771,205
2001/4/9,74,75,213,52,9871,200
2001/4/10,75,64,100,30,10015,226
2001/4/11,0,65,171,20,9968,415
2001/4/12,0,64,232,38,9867,438
2001/4/13,0,53,258,70,9846,408
2001/4/14,0,55,221,92,9932,423
2001/4/15,0,59,264,86,9870,421
2001/4/16,0,60,302,118,9818,430
2001/4/17,0,54,301,93,9797,381
2001/4/18,0,52,309,96,9764,436
2001/4/19,32700,66,278,148,9758,361
2001/4/20,51,86,239,104,9847,280
2001/4/21,103,85,131,80,9911,245
2001/4/22,11,80,167,90,9890,255
2001/4/23,9,83,181,112,9859,194
2001/4/24,32700,80,159,108,9916,167
2001/4/25,0,70,206,99,9886,176
2001/4/26,0,72,227,92,9838,186
2001/4/27,32700,78,210,151,9794,164
2001/4/28,60,91,183,154,9787,149
2001/4/29,32700,80,252,148,9806,119
2001/4/30,0,58,221,140,9901,156
2001/5/1,0,64,284,91,9844,228
2001/5/2,0,60,310,106,9790,152
2001/5/3,32700,64,263,130,9810,184
2001/5/4,187,88,240,161,9849,211
2001/5/5,1,77,259,127,9818,420
2001/5/6,0,74,285,133,9789,523
2001/5/7,49,75,261,160,9815,367
2001/5/8,0,68,316,120,9795,417
2001/5/9,0,61,266,154,9820,492
2001/5/10,0,64,303,123,9829,536
2001/5/11,0,63,316,145,9838,472
2001/5/12,32700,63,306,194,9826,311
2001/5/13,16,71,318,153,9783,308
2001/5/14,0,60,323,171,9797,333
2001/5/15,32700,55,299,196,9866,331
2001/5/16,25,67,256,151,9874,379
2001/5/17,2,75,247,136,9841,302
2001/5/18,0,62,328,146,9804,283
2001/5/19,0,54,341,139,9769,311
2001/5/20,0,50,361,161,9723,213
2001/5/21,0,46,369,160,9721,212
2001/5/22,0,47,347,152,9751,260
2001/5/23,32700,57,342,187,9750,237
2001/5/24,44,76,295,194,9789,164
2001/5/25,21,90,220,167,9818,232
2001/5/26,16,86,223,166,9863,330
2001/5/27,0,77,267,172,9852,415
2001/5/28,0,72,300,151,9800,346
2001/5/29,32700,62,293,190,9766,374
2001/5/30,5,69,309,146,9797,281
2001/5/31,32700,74,262,152,9843,387
2001/6/1,0,67,306,181,9830,259
2001/6/2,0,65,315,170,9828,209
2001/6/3,0,63,290,184,9810,217
2001/6/4,0,61,325,160,9772,258
2001/6/5,0,53,355,169,9747,186
2001/6/6,0,53,347,190,9752,159
2001/6/7,0,52,350,212,9747,122
2001/6/8,3,60,320,220,9744,204
2001/6/9,114,91,230,194,9771,356
2001/6/10,106,86,262,202,9793,383
2001/6/11,0,77,302,207,9785,444
2001/6/12,75,77,296,201,9767,505
2001/6/13,5,67,337,178,9737,501
2001/6/14,0,66,330,165,9721,329
2001/6/15,66,83,285,206,9722,341
2001/6/16,638,91,233,185,9740,538
2001/6/17,0,82,291,192,9734,1040
2001/6/18,0,73,328,217,9724,749
2001/6/19,0,68,343,208,9723,855
2001/6/20,32700,72,304,223,9753,649
2001/6/21,4,77,308,208,9779,616
2001/6/22,32700,69,339,200,9760,682
2001/6/23,32700,64,325,183,9765,687
2001/6/24,3,65,322,217,9774,542
2001/6/25,40,69,329,215,9765,449
2001/6/26,0,66,348,218,9736,428
2001/6/27,1,72,340,250,9725,721
2001/6/28,32700,69,355,255,9709,771
2001/6/29,313,86,314,224,9746,533
2001/6/30,0,75,346,210,9723,958
2001/7/1,0,71,368,213,9724,806
2001/7/2,4,80,312,247,9750,863
2001/7/3,255,83,299,224,9757,897
2001/7/4,0,79,362,236,9738,682
2001/7/5,0,70,351,235,9734,718
2001/7/6,0,68,350,236,9764,995
2001/7/7,0,64,344,235,9788,994
2001/7/8,0,67,363,232,9767,602
2001/7/9,0,63,396,253,9733,324
2001/7/10,0,64,378,265,9716,404
2001/7/11,53,67,342,224,9750,217
2001/7/12,0,66,358,191,9728,125
2001/7/13,0,62,368,201,9722,179
2001/7/14,0,62,367,229,9742,248
2001/7/15,0,61,367,237,9763,213
2001/7/16,0,60,369,227,9758,204
2001/7/17,0,54,358,235,9740,484
